university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url
University of Helsinki,Chemistry and Molecular Sciences,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-chemistry-and-molecular-sciences
University of Szeged,Computer Science,MSc,19231,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-computer-science-11270
University of Helsinki,Contemporary Societies,Master,30488,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/master-contemporary-societies
TBS Education,"Cultural Management: Music, Screen & Video Games (Barcelona)",MSc,22866,1,N/A,"Barcelona, Spain",https://www.study.eu/university/tbs-education/msc-cultural-management-music-screen-video-games-barcelona
University of Helsinki,Data Science,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-data-science-10514
University of Helsinki,Ecology and Evolutionary Biology,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-ecology-and-evolutionary-biology
University of Helsinki,Economics,MSc,42215,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-economics-2039
University of Szeged,Educational Science,MA,23453,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-educational-science
SRH University,"Engineering and Sustainable Technology Management - Industry 4.0: Automation, Robotics & 3D Manufacturing",MEng,30301,,N/A,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/meng-engineering-and-sustainable-technology-management-indus
University of Szeged,English and American Studies,BA,10553,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ba-english-and-american-studies
University of Helsinki,English Studies,MA,30488,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-english-studies-2040
University of Szeged,English Studies,MA,8912,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-english-studies-11271
University of Helsinki,Environmental Change and Global Sustainability,Master,30488,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/master-environmental-change-and-global-sustainability
University of Helsinki,European and Nordic Studies,MA,30488,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-european-and-nordic-studies
University of Szeged,Food Science and Technology Engineering,MSc,12430,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-food-science-and-technology-engineering
University of Helsinki,Food Sciences,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-food-sciences
University of Helsinki,Forest Sciences,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-forest-sciences
University of Szeged,General Medicine,Master,111167,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/master-general-medicine
University of Helsinki,Genetics and Molecular Biosciences,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-genetics-and-molecular-biosciences
University of Helsinki,Geography,MSc,30488,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-geography-10519
University of Szeged,Geoinformatics,MSc,15009,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-geoinformatics-24942
University of Helsinki,Geology and Geophysics,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-geology-and-geophysics
TBS Education,Global Executive MBA,MBA,49251,1.5,N/A,"Toulouse, France",https://www.study.eu/university/tbs-education/mba-global-executive-mba
University of Helsinki,Global Politics and Communication,MSc,30488,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-global-politics-and-communication
University of Helsinki,Human Nutrition and Food-Related Behaviour,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-human-nutrition-and-food-related-behaviour
University of Szeged,Instruction of English as a Foreign Language,MA,5863,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-instruction-of-english-as-a-foreign-language
University of Helsinki,Integrative Plant Sciences,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-integrative-plant-sciences
University of Helsinki,Liberal Arts and Sciences,Bachelor,45733,3,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/bachelor-liberal-arts-and-sciences-28315
University of Helsinki,Life Science Informatics,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-life-science-informatics-10524
University of Helsinki,Linguistic Diversity and Digital Humanities,MA,30488,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-linguistic-diversity-and-digital-humanities
Vytautas Magnus University,Logistics and Commerce,Bachelor,13035,3.5,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-logistics-and-commerce
Lancaster University Leipzig,Logistics and Supply Chain Management,MSc,27557,,N/A,"Leipzig, Germany",https://www.study.eu/university/lancaster-university-leipzig/msc-logistics-and-supply-chain-management-20782
TBS Education,Management,Bachelor,47105,3,N/A,"Toulouse, France",https://www.study.eu/university/tbs-education/bachelor-management-19444
TBS Education,Management,Master,37524,2,N/A,"Toulouse, France",https://www.study.eu/university/tbs-education/master-management-19445
TBS Education,Management (Barcelona),Bachelor,47105,3,N/A,"Barcelona, Spain",https://www.study.eu/university/tbs-education/bachelor-management-barcelona
TBS Education,Management (Barcelona),Master,37524,2,N/A,"Barcelona, Spain",https://www.study.eu/university/tbs-education/master-management-barcelona
TBS Education,Marketing & Management in Sport Organizations,MSc,22866,1,N/A,"Toulouse, France",https://www.study.eu/university/tbs-education/msc-marketing-management-in-sport-organizations
University of Helsinki,Materials Research,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-materials-research
University of Helsinki,Mathematics and Statistics,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-mathematics-and-statistics
University of Helsinki,"Meteorology, Atmospheric and Climate-System Sciences",MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-meteorology-atmospheric-and-climate-system-sciences
University of Helsinki,Microbiology and Microbial Biotechnology,MSc,42215,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-microbiology-and-microbial-biotechnology
Vytautas Magnus University,Music Production,Bachelor,36917,3.5,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-music-production
Chalmers University of Technology,Nanotechnology: Chemistry and biochemistry,MSc,30198,,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-nanotechnology-chemistry-and-biochemistry
University of Helsinki,Neuroscience,MSc,42215,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-neuroscience-2065
University of Szeged,Nurse,BSc,32834,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/bsc-nurse
University of Helsinki,Particle Physics and Astrophysical Sciences,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-particle-physics-and-astrophysical-sciences
University of Helsinki,"Pharmaceutical Research, Development and Safety",MSc,42215,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-pharmaceutical-research-development-and-safety
University of Szeged,Philosophy,MA,8912,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-philosophy-24945
Chalmers University of Technology,Physics: Astronomy,MSc,34512,,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-physics-astronomy
University of Helsinki,"Russian, Eurasian, and Eastern European Studies",MA,30488,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-russian-eurasian-and-eastern-european-studies
University of Helsinki,Science,BSc,45733,3,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/bsc-science
Vytautas Magnus University,Sociolinguistics and Multilingualism,Master,,2,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/master-sociolinguistics-and-multilingualism
Vytautas Magnus University,"Sociology and Anthropology: Society, Culture and Communication",Bachelor,14897,4,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-sociology-and-anthropology-society-culture-and-comm
SRH University,Supply Chain Management,MSc,20943,,N/A,"Berlin, Germany + 3 more campuses",https://www.study.eu/university/srh-university/msc-supply-chain-management-19843
Vytautas Magnus University,Sustainable Engineering,Bachelor,19268,4,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-sustainable-engineering
University of Helsinki,Theoretical and Computational Methods,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-theoretical-and-computational-methods
University of Szeged,Tourism and Catering,BSc,23453,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/bsc-tourism-and-catering
University of Helsinki,Translational Medicine,MSc,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-translational-medicine
University of Helsinki,Urban Studies and Planning,MA,35179,2,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-urban-studies-and-planning
SRH University,Advertising & Brand Design,BA,36846,,N/A,"Berlin, Germany",https://www.study.eu/university/srh-university/ba-advertising-brand-design
KTH Royal Institute of Technology,Aerospace Engineering,Master,,2,N/A,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-aerospace-engineering-7284
University of Technology Nuremberg,AI & Robotics,MSc,,2,N/A,"Nuremberg, Germany",https://www.study.eu/university/university-of-technology-nuremberg/msc-ai-robotics
Radboud University,American Studies,BA,48523,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ba-american-studies-5850
Radboud University,Anthropology and Development Studies,MSc,22131,1,N/A,"Nijmegen, Netherlands + 1 more campus",https://www.study.eu/university/radboud-university/msc-anthropology-and-development-studies
Modul University Vienna,Applied Data Science (Specializations available),BSc,63323,3,N/A,"Vienna, Austria",https://www.study.eu/university/modul-university-vienna/bsc-applied-data-science-specializations-available
SRH Haarlem University of Applied Sciences,Applied Sustainability Management (Full-time),MSc,19348,1,N/A,"Haarlem, Netherlands",https://www.study.eu/university/srh-haarlem-university-of-applied-sciences/msc-applied-sustainability-management-full-time
Chalmers University of Technology,Architecture and Planning Beyond Sustainability,MSc,40983,,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-architecture-and-planning-beyond-sustainability
Radboud University,Art and Visual Culture,MA,35327,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-art-and-visual-culture-12020
Radboud University,Artificial Intelligence,BSc,62651,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/bsc-artificial-intelligence-5869
Radboud University,Artificial Intelligence,MSc,46235,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-artificial-intelligence-12269
SRH University,Artificial Intelligence (AI) in Business,MSc,22458,,N/A,"Berlin, Germany",https://www.study.eu/university/srh-university/msc-artificial-intelligence-ai-in-business
Radboud University,Arts and Culture,MA,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-arts-and-culture
Radboud University,Arts and Culture Studies,BA,48523,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ba-arts-and-culture-studies
TSI Transport and Telecommunication Institute,Aviation Engineering,BEng,18293,4,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/beng-aviation-engineering
Radboud University,Behavioural Science (Research),MSc,35327,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-behavioural-science-research
Radboud University,Biology,MSc,46235,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-biology-5857
Radboud University,Biology,BSc,62651,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/bsc-biology-15032
Radboud University,Biomedical Sciences,MSc,46235,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-biomedical-sciences-5887
Radboud University,Business Administration,MSc,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-business-administration-5861
Radboud University,Business Administration: Innovation and Entrepreneurship,MSc,13451,,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-business-administration-innovation-and-entrepreneurship
Central European University (CEU),Business Analytics,MSc,17589,1,N/A,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/msc-business-analytics
Radboud University,Business Law,LLM,22131,1,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/llm-business-law
University of Szeged,Chemistry,MSc,16886,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/msc-chemistry-11276
Radboud University,Chemistry,BSc,62651,3,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/bsc-chemistry
University of Szeged,Classical Musical Instrumental Performance,MA,11726,,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-classical-musical-instrumental-performance
Radboud University,Cognitive Neuroscience (Research),MSc,45086,2,N/A,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-cognitive-neuroscience-research
