university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url,clean_degree_type,subject_tag,Value_Tier_Name
Liverpool Hope University,Education and Education Leadership and Management,MA,,1.0,2511.0,"Liverpool, United Kingdom",https://www.study.eu/university/liverpool-hope-university/education-and-education-leadership-and-management,Other,📊 Business & Management,⚪ Unranked/Missing Data
Keele University,Education and English Literature,BA (Hons),,3.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-and-english-literature,Other,💻 Tech & IT,⚪ Unranked/Missing Data
Keele University,Education and History,BA (Hons),,3.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-and-history,Other,🎨 Arts & Humanities,⚪ Unranked/Missing Data
Keele University,Education and Human Biology,BSc (Hons),,3.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-and-human-biology,Bachelor's,🧬 Health & Science,⚪ Unranked/Missing Data
University of Hull,Education and Leadership,MA,16818.0,1.0,633.0,"Hull, United Kingdom",https://www.study.eu/university/university-of-hull/education-and-leadership,Other,📚 General/Other,🟢 Budget-Friendly
University of Turku,Education and Learning,Master,,,365.0,"Turku, Finland",https://www.study.eu/university/university-of-turku/education-and-learning-2196,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Bolton,Education and Learning,BA,,,2215.0,"Bolton, United Kingdom",https://www.study.eu/university/university-of-bolton/education-and-learning,Other,📚 General/Other,⚪ Unranked/Missing Data
University of East Anglia,Education and Lifelong Learning,MPhil,37135.0,2.0,349.0,"Norwich, United Kingdom",https://www.study.eu/university/university-of-east-anglia/education-and-lifelong-learning,Other,📚 General/Other,🟢 Budget-Friendly
Keele University,Education and Mathematics,BSc (Hons),,3.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-and-mathematics,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Keele University,Education and Philosophy,BA (Hons),,3.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-and-philosophy,Other,📚 General/Other,⚪ Unranked/Missing Data
Keele University,Education and Physics,BSc (Hons),,3.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-and-physics,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Keele University,Education and Sociology,BA (Hons),,3.0,627.0,"Keele, United Kingdom",https://www.study.eu/university/keele-university/education-and-sociology,Other,🎨 Arts & Humanities,⚪ Unranked/Missing Data
Dublin City University (DCU),Education and Training,BSc (Hons),,3.0,582.0,"Dublin, Ireland",https://www.study.eu/university/dublin-city-university-dcu/education-and-training,Bachelor's,💻 Tech & IT,⚪ Unranked/Missing Data
