university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url,clean_degree_type,subject_tag,Value_Tier_Name
Széchenyi István University,Tourism Management,MSc,12195.0,2.0,4496.0,"Győr, Hungary",https://www.study.eu/university/szechenyi-istvan-university/msc-tourism-management-30489,Master's,📊 Business & Management,🟡 Standard Value
Kaunas University of Technology (KTU),Translation and Post-editing of Technical Texts,MSc,12094.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-translation-and-post-editing-of-technical-texts,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Transport Electronics,BSc,19268.0,4.0,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-transport-electronics,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Széchenyi István University,Transport Sciences,PhD,11257.0,4.0,4496.0,"Győr, Hungary",https://www.study.eu/university/szechenyi-istvan-university/phd-transport-sciences,Doctorate,📚 General/Other,🟡 Standard Value
Stockholm University,Urban and Regional Planning,Master,25884.0,,143.0,"Stockholm, Sweden",https://www.study.eu/university/stockholm-university/master-urban-and-regional-planning,Master's,📚 General/Other,🟢 Budget-Friendly
Kaunas University of Technology (KTU),Vehicle Engineering,MSc,12988.0,2.0,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-vehicle-engineering,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
Széchenyi István University,Vehicle Engineering,MSc,15009.0,2.0,4496.0,"Győr, Hungary",https://www.study.eu/university/szechenyi-istvan-university/msc-vehicle-engineering-30490,Master's,⚙️ Engineering,🟡 Standard Value
Anglo-American University,Visual Art Studies (Major),BA,36679.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-visual-art-studies-major,Other,🎨 Arts & Humanities,🟡 Standard Value
Saarland University,Visual Computing,MSc,,,,"Saarbrücken, Germany",https://www.study.eu/university/saarland-university/msc-visual-computing,Master's,📚 General/Other,⚪ Unranked/Missing Data
Stockholm University,Water Resources,Master,30198.0,,143.0,"Stockholm, Sweden",https://www.study.eu/university/stockholm-university/master-water-resources,Master's,📚 General/Other,🟢 Budget-Friendly
Central European University (CEU),Women's and Gender Studies,MA,28143.0,2.0,,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ma-women-s-and-gender-studies,Other,📚 General/Other,⚪ Unranked/Missing Data
Escape Studios,3D Animation,MA,26903.0,1.0,9517.0,"London, United Kingdom",https://www.study.eu/university/escape-studios/ma-3d-animation-28150,Other,📚 General/Other,🟡 Standard Value
Constructor University,Advanced Materials,Master,46906.0,2.0,1935.0,"Bremen, Germany",https://www.study.eu/university/constructor-university/master-advanced-materials,Master's,📚 General/Other,🟠 Premium Programs
Kaunas University of Technology (KTU),Aeronautical Engineering,MSc,12094.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-aeronautical-engineering,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
University of Pécs,Aesthetics (Specialisation in Classics),MA,11726.0,2.0,860.0,"Pécs, Hungary",https://www.study.eu/university/university-of-pecs/ma-aesthetics-specialisation-in-classics,Other,📚 General/Other,🟢 Budget-Friendly
KTH Royal Institute of Technology,Applied and Computational Mathematics,Master,,2.0,150.0,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-applied-and-computational-mathematics,Master's,📚 General/Other,⚪ Unranked/Missing Data
SRH University,Applied Artificial Intelligence,BSc,34827.0,3.0,6422.0,"Heidelberg, Germany",https://www.study.eu/university/srh-university/bsc-applied-artificial-intelligence-28614,Bachelor's,🎨 Arts & Humanities,🟡 Standard Value
Kaunas University of Technology (KTU),Applied Chemistry,MSc,,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-applied-chemistry,Master's,📚 General/Other,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Applied Chemistry,BSc,19268.0,4.0,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-applied-chemistry,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
SRH University,Applied Data Science and AI - Creative AI and Analytics,MSc,,,6422.0,"Heidelberg, Germany",https://www.study.eu/university/srh-university/msc-applied-data-science-and-ai-creative-ai-and-analytics,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Vytautas Magnus University,Applied English Linguistics,Master,8101.0,1.5,1462.0,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/master-applied-english-linguistics,Master's,📚 General/Other,🟢 Budget-Friendly
Vytautas Magnus University,Applied Informatics,Master,12988.0,2.0,1462.0,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/master-applied-informatics,Master's,📚 General/Other,🟢 Budget-Friendly
Lucerne University of Applied Sciences and Arts,Applied Information and Data Science,MSc,,2.0,,"Lucerne, Switzerland",https://www.study.eu/university/lucerne-university-of-applied-sciences-and-arts/msc-applied-information-and-data-science,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
HAMK Häme University of Applied Sciences,Applied Machine Learning,Master,20580.0,1.5,,"Hämeenlinna, Finland",https://www.study.eu/university/hamk-hame-university-of-applied-sciences/master-applied-machine-learning,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Applied Mathematics,MSc,,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-applied-mathematics-30582,Master's,📚 General/Other,⚪ Unranked/Missing Data
KTH Royal Institute of Technology,Architectural Lighting Design (One year),Master,,1.0,150.0,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-architectural-lighting-design-one-year,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Royal College of Art,Architecture,MA,,2.0,2932.0,"London, United Kingdom",https://www.study.eu/university/royal-college-of-art/ma-architecture,Other,💻 Tech & IT,⚪ Unranked/Missing Data
Chalmers University of Technology,Architecture and Urban Design,MSc,40983.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-architecture-and-urban-design,Master's,💻 Tech & IT,🟢 Budget-Friendly
EU Business School,Artificial Intelligence for Business,BA,,,6343.0,"Barcelona, Spain + 2 more campuses",https://www.study.eu/university/eu-business-school/ba-artificial-intelligence-for-business,Other,📊 Business & Management,⚪ Unranked/Missing Data
Royal College of Art,Arts & Humanities,MFA,,1.0,2932.0,"London, United Kingdom",https://www.study.eu/university/royal-college-of-art/mfa-arts-humanities,Other,💻 Tech & IT,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Automation and Control,BSc,17481.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-automation-and-control,Bachelor's,📚 General/Other,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Aviation Engineering,BSc,17481.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-aviation-engineering,Bachelor's,⚙️ Engineering,⚪ Unranked/Missing Data
Audencia Business School,Bachelor in Management,Bachelor,,,,"Nantes, France + 1 more campus",https://www.study.eu/university/audencia-business-school/bachelor-bachelor-in-management,Bachelor's,📊 Business & Management,⚪ Unranked/Missing Data
Vilnius University,Baltic Linguistics,Master,11344.0,2.0,648.0,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-baltic-linguistics,Master's,📚 General/Other,🟢 Budget-Friendly
KEDGE Business School,Banking & Finance,MSc,,1.0,2816.0,"Bordeaux, France",https://www.study.eu/university/kedge-business-school/msc-banking-finance,Master's,📊 Business & Management,⚪ Unranked/Missing Data
Vilnius University,Bioinformatics,Bachelor,21107.0,4.0,648.0,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/bachelor-bioinformatics-21886,Bachelor's,🧬 Health & Science,🟢 Budget-Friendly
Chalmers University of Technology,Biomedical Engineering,MSc,30198.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-biomedical-engineering-7350,Master's,⚙️ Engineering,🟢 Budget-Friendly
Kaunas University of Technology (KTU),Biomedical Engineering,MSc,12094.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-biomedical-engineering-2260,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Biomedical Materials Industries,BSc,19268.0,4.0,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-biomedical-materials-industries,Bachelor's,🧬 Health & Science,⚪ Unranked/Missing Data
Chalmers University of Technology,Biotechnology: Biomaterials and tissue engineering,MSc,30198.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-biotechnology-biomaterials-and-tissue-engineering,Master's,💻 Tech & IT,🟢 Budget-Friendly
Chalmers University of Technology,Biotechnology: Systems biotechnology and bioeconomy,MSc,30198.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-biotechnology-systems-biotechnology-and-bioeconomy,Master's,💻 Tech & IT,🟢 Budget-Friendly
Audencia Business School,Brand Strategy & Product Management,MSc,,,,"Nantes, France",https://www.study.eu/university/audencia-business-school/msc-brand-strategy-product-management,Master's,📊 Business & Management,⚪ Unranked/Missing Data
EU Business School,Business Administration,BBA,49603.0,3.0,6343.0,"Barcelona, Spain + 2 more campuses",https://www.study.eu/university/eu-business-school/bba-business-administration,Other,📊 Business & Management,🟡 Standard Value
University of Twente,Business Administration,MSc,,1.0,257.0,"Enschede, Netherlands",https://www.study.eu/university/university-of-twente/msc-business-administration-15073,Master's,📊 Business & Management,⚪ Unranked/Missing Data
Webster Vienna Private University,Business Administration,BSc,111777.0,4.0,,"Vienna, Austria",https://www.study.eu/university/webster-vienna-private-university/bsc-business-administration-9718,Bachelor's,📊 Business & Management,⚪ Unranked/Missing Data
Anglo-American University,"Business Administration: Accounting, Finance, and ESG",BA,36679.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-business-administration-accounting-finance-and-esg,Other,📊 Business & Management,🟡 Standard Value
Anglo-American University,Business Administration: Business Economics,BA,38147.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-business-administration-business-economics,Other,📊 Business & Management,🟡 Standard Value
Lucerne University of Applied Sciences and Arts,Business Administration: Business Innovation and Entrepreneurship,MSc,,2.0,,"Lucerne, Switzerland",https://www.study.eu/university/lucerne-university-of-applied-sciences-and-arts/msc-business-administration-business-innovation-and-entrepre,Master's,📊 Business & Management,⚪ Unranked/Missing Data
Anglo-American University,Business Administration: Data Analytics for Economics and Finance,BA,36679.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-business-administration-data-analytics-for-economics-and-,Other,💻 Tech & IT,🟡 Standard Value
Anglo-American University,Business Administration: Entrepreneurship and Innovation,BA,36679.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-business-administration-entrepreneurship-and-innovation,Other,📊 Business & Management,🟡 Standard Value
Anglo-American University,Business Administration: Global Management and Leadership,BA,36679.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-business-administration-global-management-and-leadership,Other,📊 Business & Management,🟡 Standard Value
Lucerne University of Applied Sciences and Arts,Business Administration: Health Business & Management,MSc,,2.0,,"Lucerne, Switzerland",https://www.study.eu/university/lucerne-university-of-applied-sciences-and-arts/msc-business-administration-health-business-management,Master's,📊 Business & Management,⚪ Unranked/Missing Data
Lucerne University of Applied Sciences and Arts,Business Administration: International Tourism Management,MSc,,2.0,,"Lucerne, Switzerland",https://www.study.eu/university/lucerne-university-of-applied-sciences-and-arts/msc-business-administration-international-tourism-management,Master's,📊 Business & Management,⚪ Unranked/Missing Data
Anglo-American University,Business Administration (Major),BA,36679.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-business-administration-major,Other,📊 Business & Management,🟡 Standard Value
Anglo-American University,Business Administration: Marketing and Digital Communications,BA,36679.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-business-administration-marketing-and-digital-communicati,Other,💻 Tech & IT,🟡 Standard Value
Lucerne University of Applied Sciences and Arts,Business Administration: Online Business and Marketing,MSc,,2.0,,"Lucerne, Switzerland",https://www.study.eu/university/lucerne-university-of-applied-sciences-and-arts/msc-business-administration-online-business-and-marketing,Master's,📊 Business & Management,⚪ Unranked/Missing Data
Anglo-American University,Business Administration: Strategic Marketing,BA,38147.0,,8869.0,"Prague, Czech Republic",https://www.study.eu/university/anglo-american-university/ba-business-administration-strategic-marketing,Other,📊 Business & Management,🟡 Standard Value
Vilnius University,Business and Finance,Bachelor,17853.0,3.5,648.0,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/bachelor-business-and-finance,Bachelor's,📊 Business & Management,🟢 Budget-Friendly
Audencia Business School,Business Development & Growth Hacking,MSc,,,,"Nantes, France",https://www.study.eu/university/audencia-business-school/msc-business-development-growth-hacking,Master's,📊 Business & Management,⚪ Unranked/Missing Data
EU Business School,Business Finance,BSc,104131.0,,6343.0,"Geneva, Switzerland + 1 more campus",https://www.study.eu/university/eu-business-school/bsc-business-finance,Bachelor's,📊 Business & Management,🟡 Standard Value
KEDGE Business School,Business Law,MSc,,3.0,2816.0,"Paris, France",https://www.study.eu/university/kedge-business-school/msc-business-law,Master's,📊 Business & Management,⚪ Unranked/Missing Data
EU Business School,Business (Management),BA (Hons),,,6343.0,"Munich, Germany",https://www.study.eu/university/eu-business-school/ba-hons-business-management,Other,📊 Business & Management,⚪ Unranked/Missing Data
EU Business School,Business Management (Enterprise),BA (Hons),47492.0,,6343.0,"Barcelona, Spain",https://www.study.eu/university/eu-business-school/ba-hons-business-management-enterprise,Other,📊 Business & Management,🟡 Standard Value
University of Twente,Cartography,MSc,,2.0,257.0,"Enschede, Netherlands + 3 more campuses",https://www.study.eu/university/university-of-twente/msc-cartography,Master's,🎨 Arts & Humanities,⚪ Unranked/Missing Data
Escape Studios,"Character Creation for Animation, Games & VFX",BSc (Hons),72636.0,3.0,9517.0,"London, United Kingdom",https://www.study.eu/university/escape-studios/bsc-hons-character-creation-for-animation-games-vfx,Bachelor's,📚 General/Other,🟡 Standard Value
Escape Studios,Character & Creature Creation,MA,26903.0,1.0,9517.0,"London, United Kingdom",https://www.study.eu/university/escape-studios/ma-character-creature-creation,Other,📚 General/Other,🟡 Standard Value
Kaunas University of Technology (KTU),Chemical Engineering,MSc,12094.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-chemical-engineering-2261,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Chemical Technology and Engineering,BSc,17481.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-chemical-technology-and-engineering,Bachelor's,💻 Tech & IT,⚪ Unranked/Missing Data
University of Szeged,Chemistry,PhD,46906.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/phd-chemistry,Doctorate,📚 General/Other,🟠 Premium Programs
KTH Royal Institute of Technology,Civil and Architectural Engineering,Master,,2.0,150.0,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-civil-and-architectural-engineering,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Stockholm University,"Climate, Environment and Energy: Environmental Social Sciences",Master,,2.0,143.0,"Stockholm, Sweden",https://www.study.eu/university/stockholm-university/master-climate-environment-and-energy-environmental-social-s,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Szeged,Clinical Medicine,PhD,46906.0,,646.0,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/phd-clinical-medicine,Doctorate,🧬 Health & Science,🟠 Premium Programs
Royal College of Art,Communication,MFA,,1.0,2932.0,"London, United Kingdom",https://www.study.eu/university/royal-college-of-art/mfa-communication,Other,📚 General/Other,⚪ Unranked/Missing Data
TBS Education,Communication & Brand Content,MSc,22866.0,1.0,,"Toulouse, France",https://www.study.eu/university/tbs-education/msc-communication-brand-content,Master's,📚 General/Other,⚪ Unranked/Missing Data
SRH University,Communication design,BA,36846.0,,6422.0,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/ba-communication-design,Other,🎨 Arts & Humanities,🟡 Standard Value
Vrije Universiteit Brussel (VUB),Communication Studies: Journalism and Media,MSc,10047.0,,540.0,"Brussels, Belgium",https://www.study.eu/university/vrije-universiteit-brussel-vub/msc-communication-studies-journalism-and-media,Master's,🧬 Health & Science,🟢 Budget-Friendly
HAMK Häme University of Applied Sciences,Computer Applications,BBA,39811.0,3.5,,"Hämeenlinna, Finland",https://www.study.eu/university/hamk-hame-university-of-applied-sciences/bba-computer-applications,Other,💻 Tech & IT,⚪ Unranked/Missing Data
TSI Transport and Telecommunication Institute,Computer Engineering and Electronics,MEng,10553.0,2.0,,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/meng-computer-engineering-and-electronics,Other,💻 Tech & IT,⚪ Unranked/Missing Data
Lancaster University Leipzig,Computer Science,BSc (Hons),60684.0,,265.0,"Leipzig, Germany",https://www.study.eu/university/lancaster-university-leipzig/bsc-hons-computer-science-11859,Bachelor's,💻 Tech & IT,🟠 Premium Programs
SRH University,Computer Science,MSc,,,6422.0,"Leipzig, Germany + 1 more campus",https://www.study.eu/university/srh-university/msc-computer-science-28609,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
University of Oulu,Computer Science and Engineering,MSc (Tech),,2.0,340.0,"Oulu, Finland",https://www.study.eu/university/university-of-oulu/msc-tech-computer-science-and-engineering,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Malmö University,Computer Science: Internet of Things,Master,31277.0,,1359.0,"Malmö, Sweden",https://www.study.eu/university/malmo-university/master-computer-science-internet-of-things,Master's,💻 Tech & IT,🟢 Budget-Friendly
KTH Royal Institute of Technology,Computer Simulations for Science and Engineering (Joint),Master,,2.0,150.0,"Stockholm, Sweden + 2 more campuses",https://www.study.eu/university/kth-royal-institute-of-technology/master-computer-simulations-for-science-and-engineering-join,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Chalmers University of Technology,Computer Systems and Networks,MSc,30198.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-computer-systems-and-networks,Master's,💻 Tech & IT,🟢 Budget-Friendly
Escape Studios,Concept Art and Experience Design,MA,26903.0,1.0,9517.0,"London, United Kingdom",https://www.study.eu/university/escape-studios/ma-concept-art-and-experience-design,Other,🎨 Arts & Humanities,🟡 Standard Value
Escape Studios,Concept Art and Experience Design,BA (Hons),72636.0,3.0,9517.0,"London, United Kingdom",https://www.study.eu/university/escape-studios/ba-hons-concept-art-and-experience-design,Other,🎨 Arts & Humanities,🟡 Standard Value
Kaunas University of Technology (KTU),Construction Management,MSc,9071.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-construction-management,Master's,📊 Business & Management,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Control Technologies,MSc,12094.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-control-technologies,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Audencia Business School,Corporate Finance & Investment Banking,MSc,,,,"Nantes, France",https://www.study.eu/university/audencia-business-school/msc-corporate-finance-investment-banking,Master's,📊 Business & Management,⚪ Unranked/Missing Data
KEDGE Business School,Creative Tourism Management,MSc,21107.0,1.0,2816.0,"Paris, France",https://www.study.eu/university/kedge-business-school/msc-creative-tourism-management,Master's,📊 Business & Management,🟢 Budget-Friendly
KEDGE Business School,Creativity & Design Management,MSc,,,2816.0,"Marseille, France",https://www.study.eu/university/kedge-business-school/msc-creativity-design-management,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Vytautas Magnus University,Customs Process Management (Online),Master,5401.0,1.0,1462.0,Lithuania – programme delivered online,https://www.study.eu/university/vytautas-magnus-university/master-customs-process-management-online,Master's,📊 Business & Management,🟢 Budget-Friendly
SRH University,Dance Movement Therapy,MA,22725.0,,6422.0,"Heidelberg, Germany",https://www.study.eu/university/srh-university/ma-dance-movement-therapy-19807,Other,📚 General/Other,🟡 Standard Value
Audencia Business School,Data Management in Corporate Finance,MSc,,,,"Nantes, France",https://www.study.eu/university/audencia-business-school/msc-data-management-in-corporate-finance,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Audencia Business School,Data Science & AI for Marketing,MSc,,,,"Nantes, France",https://www.study.eu/university/audencia-business-school/msc-data-science-ai-for-marketing,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Data Science and Artificial Intelligence,MSc,9741.0,1.5,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-data-science-and-artificial-intelligence-30027,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
SRH University,Data Science - Digital Health,MSc,21107.0,,6422.0,"Fürth, Germany",https://www.study.eu/university/srh-university/msc-data-science-digital-health,Master's,💻 Tech & IT,🟡 Standard Value
Constructor University,Data Science for Society and Business,MSc,46906.0,2.0,1935.0,"Bremen, Germany",https://www.study.eu/university/constructor-university/msc-data-science-for-society-and-business,Master's,💻 Tech & IT,🟠 Premium Programs
Chalmers University of Technology,Design and Construction Project Management,MSc,30198.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-design-and-construction-project-management,Master's,📊 Business & Management,🟢 Budget-Friendly
"Konstfack University of Arts, Crafts and Design",Design Ecologies,MFA,,2.0,7548.0,"Stockholm, Sweden",https://www.study.eu/university/konstfack-university-of-arts-crafts-and-design/mfa-design-ecologies,Other,🎨 Arts & Humanities,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Design for Sustainable Future,MSc,12350.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-design-for-sustainable-future,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
SRH Distance Learning University,Design Management,MA,,,,Germany – programme delivered online,https://www.study.eu/university/srh-distance-learning-university/ma-design-management-27584,Other,📊 Business & Management,⚪ Unranked/Missing Data
Macromedia University of Applied Sciences,Design Management,MA,45733.0,3.0,3180.0,"Munich, Germany",https://www.study.eu/university/macromedia-university-of-applied-sciences/ma-design-management,Other,📊 Business & Management,🟠 Premium Programs
Royal College of Art,Design Products,MA,,1.0,2932.0,"London, United Kingdom",https://www.study.eu/university/royal-college-of-art/ma-design-products,Other,🎨 Arts & Humanities,⚪ Unranked/Missing Data
EU Business School,Digital Business,Master,,,6343.0,"Barcelona, Spain + 2 more campuses",https://www.study.eu/university/eu-business-school/master-digital-business,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Royal College of Art,Digital Direction,MA,,1.0,2932.0,"London, United Kingdom",https://www.study.eu/university/royal-college-of-art/ma-digital-direction,Other,💻 Tech & IT,⚪ Unranked/Missing Data
EU Business School,Digital International Relations & Diplomacy,Master,37923.0,,6343.0,"Geneva, Switzerland",https://www.study.eu/university/eu-business-school/master-digital-international-relations-diplomacy,Master's,💻 Tech & IT,🟡 Standard Value
EU Business School,Doctorate of Business Administration,DBA,,,6343.0,"Geneva, Switzerland",https://www.study.eu/university/eu-business-school/dba-doctorate-of-business-administration-11108,Other,📊 Business & Management,⚪ Unranked/Missing Data
Vilnius University,Eastern European and Russian Studies,Master,8101.0,1.5,648.0,"Vilnius, Lithuania",https://www.study.eu/university/vilnius-university/master-eastern-european-and-russian-studies,Master's,📚 General/Other,🟢 Budget-Friendly
Kaunas University of Technology (KTU),Economics,BSc,13856.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-economics-2276,Bachelor's,📊 Business & Management,⚪ Unranked/Missing Data
Vytautas Magnus University,Economics and Finance,Bachelor,11173.0,3.0,1462.0,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-economics-and-finance,Bachelor's,📊 Business & Management,🟢 Budget-Friendly
Vilnius University,Economics and Investment,Bachelor,14529.0,3.5,648.0,"Šiauliai, Lithuania",https://www.study.eu/university/vilnius-university/bachelor-economics-and-investment,Bachelor's,📊 Business & Management,🟢 Budget-Friendly
Central European University (CEU),"Economics, Data, and Policy (2 year)",MA,28143.0,2.0,,"Vienna, Austria",https://www.study.eu/university/central-european-university-ceu/ma-economics-data-and-policy-2-year,Other,💻 Tech & IT,⚪ Unranked/Missing Data
University of Twente,Educational Science & Technology,MSc,,1.0,257.0,"Enschede, Netherlands",https://www.study.eu/university/university-of-twente/msc-educational-science-technology,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
Malmö University,Education: Educational Theory (Two-Year),Master,21031.0,,1359.0,"Malmö, Sweden",https://www.study.eu/university/malmo-university/master-education-educational-theory-two-year,Master's,📚 General/Other,🟢 Budget-Friendly
University of Oulu,Education for Global Futures,Master,,2.0,340.0,"Oulu, Finland",https://www.study.eu/university/university-of-oulu/master-education-for-global-futures,Master's,📚 General/Other,⚪ Unranked/Missing Data
University of Twente,Electrical Engineering,MSc,,2.0,257.0,"Enschede, Netherlands",https://www.study.eu/university/university-of-twente/msc-electrical-engineering-15054,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Electrical Engineering,BSc,17481.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-electrical-engineering-2272,Bachelor's,⚙️ Engineering,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Electrical Power Engineering,MSc,12988.0,2.0,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-electrical-power-engineering-30028,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
KTH Royal Institute of Technology,Electric Power Engineering,Master,,2.0,150.0,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-electric-power-engineering,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
University of Oulu,Electronics,Master,,2.0,340.0,"Oulu, Finland",https://www.study.eu/university/university-of-oulu/master-electronics,Master's,📚 General/Other,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Electronics and Electrical Engineering,BSc,13111.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/bsc-electronics-and-electrical-engineering,Bachelor's,⚙️ Engineering,⚪ Unranked/Missing Data
Kaunas University of Technology (KTU),Electronics Engineering,MSc,12094.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-electronics-engineering,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
Chalmers University of Technology,Embedded Electronic System Design,MSc,30198.0,,270.0,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-embedded-electronic-system-design,Master's,🎨 Arts & Humanities,🟢 Budget-Friendly
Kaunas University of Technology (KTU),Energy Technologies and Economics,MSc,12094.0,,,"Kaunas, Lithuania",https://www.study.eu/university/kaunas-university-of-technology-ktu/msc-energy-technologies-and-economics,Master's,💻 Tech & IT,⚪ Unranked/Missing Data
KTH Royal Institute of Technology,Engineering Materials Science,Master,,2.0,150.0,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-engineering-materials-science,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
KTH Royal Institute of Technology,Engineering Physics,Master,,2.0,150.0,"Stockholm, Sweden",https://www.study.eu/university/kth-royal-institute-of-technology/master-engineering-physics,Master's,⚙️ Engineering,⚪ Unranked/Missing Data
