university_name,program_name,degree,tuition_fee_usd_total,program_duration,global_ranking,university_location,url
University of Helsinki,Linguistic Diversity and Digital Humanities,MA,"30,001 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-linguistic-diversity-and-digital-humanities
Vytautas Magnus University,Logistics and Commerce,Bachelor,"12,826 USD in total (students from outside EU/EEA)",3.5 years (210 ECTS) full-time,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-logistics-and-commerce
Lancaster University Leipzig,Logistics and Supply Chain Management,MSc,"27,116 USD in total (students from outside EU/EEA)",N/A,N/A,"Leipzig, Germany",https://www.study.eu/university/lancaster-university-leipzig/msc-logistics-and-supply-chain-management-20782
TBS Education,Management,Master,"36,924 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Toulouse, France",https://www.study.eu/university/tbs-education/master-management-19445
TBS Education,Management,Bachelor,"46,352 USD in total (students from outside EU/EEA)",3 years (180 ECTS),N/A,"Toulouse, France",https://www.study.eu/university/tbs-education/bachelor-management-19444
TBS Education,Management (Barcelona),Master,"36,924 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Barcelona, Spain",https://www.study.eu/university/tbs-education/master-management-barcelona
TBS Education,Management (Barcelona),Bachelor,"46,352 USD in total (students from outside EU/EEA)",3 years (180 ECTS),N/A,"Barcelona, Spain",https://www.study.eu/university/tbs-education/bachelor-management-barcelona
TBS Education,Marketing & Management in Sport Organizations,MSc,"22,501 USD in total (students from outside EU/EEA)",1 year (90 ECTS) full-time,N/A,"Toulouse, France",https://www.study.eu/university/tbs-education/msc-marketing-management-in-sport-organizations
University of Helsinki,Materials Research,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-materials-research
University of Helsinki,Mathematics and Statistics,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-mathematics-and-statistics
University of Helsinki,"Meteorology, Atmospheric and Climate-System Sciences",MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-meteorology-atmospheric-and-climate-system-sciences
University of Helsinki,Microbiology and Microbial Biotechnology,MSc,"41,540 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-microbiology-and-microbial-biotechnology
Vytautas Magnus University,Music Production,Bachelor,"36,327 USD in total (students from outside EU/EEA)",3.5 years (210 ECTS) full-time,N/A,"Kaunas, Lithuania",https://www.study.eu/university/vytautas-magnus-university/bachelor-music-production
Chalmers University of Technology,Nanotechnology: Chemistry and biochemistry,MSc,"29,704 USD in total (students from outside EU/EEA)",N/A,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-nanotechnology-chemistry-and-biochemistry
University of Helsinki,Neuroscience,MSc,"41,540 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-neuroscience-2065
University of Szeged,Nurse,BSc,"32,309 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/bsc-nurse
University of Helsinki,Particle Physics and Astrophysical Sciences,MSc,"34,617 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-particle-physics-and-astrophysical-sciences
University of Helsinki,"Pharmaceutical Research, Development and Safety",MSc,"41,540 USD in total (students from outside EU/EEA)",2 years (120 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/msc-pharmaceutical-research-development-and-safety
University of Szeged,Philosophy,MA,"8,769 USD in total (students from outside EU/EEA)",N/A,N/A,"Szeged, Hungary",https://www.study.eu/university/university-of-szeged/ma-philosophy-24945
Chalmers University of Technology,Physics: Astronomy,MSc,"33,947 USD in total (students from outside EU/EEA)",N/A,N/A,"Gothenburg, Sweden",https://www.study.eu/university/chalmers-university-of-technology/msc-physics-astronomy
TSI Transport and Telecommunication Institute,Robotics,Bachelor,"18,000 USD in total (students from outside EU/EEA)",4 years (240 ECTS) full-time / part-time,N/A,"Riga, Latvia",https://www.study.eu/university/tsi-transport-and-telecommunication-institute/bachelor-robotics
University of Helsinki,"Russian, Eurasian, and Eastern European Studies",MA,"30,001 USD in total (students from outside EU/EEA)",2 years (120 ECTS) full-time,N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/ma-russian-eurasian-and-eastern-european-studies
University of Helsinki,Science,BSc,"45,002 USD in total (students from outside EU/EEA)",3 years (180 ECTS),N/A,"Helsinki, Finland",https://www.study.eu/university/university-of-helsinki/bsc-science
