university_name,program_name,degree,tuition_fee_usd_total,program_duration_year,global_ranking,university_location,url
SRH University,Applied Data Science and AI - AI-Driven Bioinformatics and Life Sciences,MSc,,,6422,"Munich, Germany",https://www.study.eu/university/srh-university/msc-applied-data-science-and-ai-ai-driven-bioinformatics-and
SRH University,Applied Data Science and Artificial Intelligence,MSc,23897.0,,6422,"Heidelberg, Germany",https://www.study.eu/university/srh-university/msc-applied-data-science-and-artificial-intelligence
Vrije Universiteit Brussel (VUB),Applied Informatics: Artificial Intelligence and Data Science,MSc,4177.0,,540,"Brussels, Belgium",https://www.study.eu/university/vrije-universiteit-brussel-vub/msc-applied-informatics-artificial-intelligence-and-data-sci
University of Twente,Applied Mathematics,MSc,,2.0,257,"Enschede, Netherlands",https://www.study.eu/university/university-of-twente/msc-applied-mathematics-15060
SRH University,Applied Mechatronic Systems,BEng,36832.0,,6422,"Berlin, Germany + 1 more campus",https://www.study.eu/university/srh-university/beng-applied-mechatronic-systems
University of Twente,Applied Physics,MSc,,2.0,257,"Enschede, Netherlands",https://www.study.eu/university/university-of-twente/msc-applied-physics-15069
University of Cambridge,Archaeology,MPhil,,0.83,4,"Cambridge, United Kingdom",https://www.study.eu/university/university-of-cambridge/mphil-archaeology
Radboud University,Art and Visual Culture,MA,34762.0,2.0,226,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/ma-art-and-visual-culture-12020
Radboud University,Artificial Intelligence,BSc,61649.0,3.0,226,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/bsc-artificial-intelligence-5869
Radboud University,Artificial Intelligence,MSc,45496.0,2.0,226,"Nijmegen, Netherlands",https://www.study.eu/university/radboud-university/msc-artificial-intelligence-12269
EU Business School,Artificial Intelligence for Business,Master,18000.0,1.0,6343,"Barcelona, Spain + 2 more campuses",https://www.study.eu/university/eu-business-school/master-artificial-intelligence-for-business
Vilnius University,Art Management,Master,9519.0,1.5,648,"Kaunas, Lithuania",https://www.study.eu/university/vilnius-university/master-art-management
